,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"19,750","-100","-0.5","19,900","20,250","19,300","1,114,933","22,012,493,450","551,646,532,500","0.03","27,931,470"
,000040,KR모터스,"1,250","75","6.4","1,155","1,260","1,135","5,833,336","7,047,993,140","114,576,272,500","0.01","91,661,018"
,000050,경방,"12,000","550","4.8","11,500","12,200","11,500","81,131","971,399,100","328,983,240,000","0.02","27,415,270"
,000060,메리츠화재,"15,000","-250","-1.6","15,350","15,350","14,950","363,758","5,469,820,250","1,705,200,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"65,200","200","0.3","65,000","66,000","64,600","17,840","1,162,063,900","558,390,469,200","0.03","8,564,271"
,000075,삼양홀딩스우,"47,900","-100","-0.2","48,000","48,000","47,900","202","9,679,950","14,564,378,200","0.00","304,058"
,000080,하이트진로,"32,600","-50","-0.2","32,400","33,000","32,400","292,430","9,544,385,550","2,286,355,718,600","0.11","70,133,611"
,000087,하이트진로2우B,"20,800","-50","-0.2","21,050","21,050","20,800","5,729","119,677,450","23,506,870,400","0.00","1,130,138"
,000100,유한양행,"65,300","1,000","1.6","64,000","65,300","63,600","348,897","22,378,458,900","4,365,749,693,000","0.20","66,856,810"
,000105,유한양행우,"64,700","400","0.6","64,300","64,800","63,900","5,521","354,806,700","76,406,818,000","0.00","1,180,940"
,000120,CJ대한통운,"166,000","2,500","1.5","162,500","166,000","162,500","59,500","9,776,581,000","3,786,849,104,000","0.18","22,812,344"
,000140,하이트진로홀딩스,"15,950","450","2.9","15,500","16,150","15,400","46,531","738,689,900","370,147,901,750","0.02","23,206,765"
,000145,하이트진로홀딩스우,"15,400","50","0.3","15,750","15,750","15,400","495","7,656,300","7,250,474,000","0.00","470,810"
,000150,두산,"53,600","400","0.8","53,200","54,400","52,900","87,656","4,702,920,700","885,677,556,000","0.04","16,523,835"
,000155,두산우,"42,350","50","0.1","42,300","42,450","42,000","12,487","527,900,350","169,250,165,700","0.01","3,996,462"
,000157,두산2우B,"79,400","-1,600","-2.0","81,000","81,100","79,000","1,570","125,273,900","70,907,217,200","0.00","893,038"
,000180,성창기업지주,"1,940","10","0.5","1,930","1,960","1,920","192,002","371,935,320","135,318,104,000","0.01","69,751,600"
,000210,대림산업,"83,800","-700","-0.8","84,600","84,900","82,400","298,165","24,959,803,800","2,916,240,000,000","0.14","34,800,000"
,000215,대림산업우,"47,600","-400","-0.8","48,300","48,400","46,850","16,958","803,986,350","180,880,000,000","0.01","3,800,000"
,000220,유유제약,"14,500","250","1.8","14,300","14,750","14,150","89,437","1,299,008,250","103,498,288,500","0.00","7,137,813"
,000225,유유제약1우,"13,800","450","3.4","13,300","14,350","13,200","36,470","509,074,700","15,641,817,000","0.00","1,133,465"
,000227,유유제약2우B,"32,950","50","0.2","33,250","33,250","32,000","959","31,618,250","5,406,436,000","0.00","164,080"
,000230,일동홀딩스,"10,500","50","0.5","10,400","11,350","10,400","219,168","2,380,009,300","121,174,200,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"15,850","0","0.0","16,150","16,350","15,800","525,216","8,431,238,700","1,474,369,742,050","0.07","93,020,173"
,000250,삼천당제약,"56,500","1,200","2.2","55,100","57,300","55,100","341,057","19,238,595,200","1,286,394,316,500","0.06","22,768,041"
,000270,기아차,"58,400","-600","-1.0","58,500","58,800","58,000","1,742,667","101,485,904,900","23,673,219,464,800","1.10","405,363,347"
,000300,대유플러스,"840","10","1.2","837","840","815","2,183,678","1,809,717,708","97,569,966,480","0.00","116,154,722"
,000320,노루홀딩스,"9,680","70","0.7","9,550","9,740","9,510","9,453","91,227,760","128,658,341,680","0.01","13,291,151"
,000325,노루홀딩스우,"17,950","250","1.4","17,700","17,950","17,600","656","11,577,100","3,325,237,500","0.00","185,250"
,000370,한화손해보험,"3,655","50","1.4","3,580","3,740","3,480","3,587,591","12,970,132,525","426,680,734,325","0.02","116,738,915"
,000390,삼화페인트,"7,790","460","6.3","7,330","8,590","7,330","3,998,839","32,113,656,380","205,957,870,290","0.01","26,438,751"
,000400,롯데손해보험,"1,865","-15","-0.8","1,880","1,885","1,820","465,699","866,120,010","578,777,236,800","0.03","310,336,320"
,000430,대원강업,"4,015","-95","-2.3","4,160","4,280","4,000","1,650,885","6,762,032,365","248,930,000,000","0.01","62,000,000"
,000440,중앙에너비스,"9,820","780","8.6","8,950","10,350","8,670","818,658","7,913,762,660","61,150,416,600","0.00","6,227,130"
,000480,조선내화,"79,600","200","0.2","79,400","80,400","79,200","1,135","90,478,200","318,400,000,000","0.01","4,000,000"
