,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Prices,Change,Volume
0,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,34.47B,51.55,114.09,-0.23%,"983,054"
1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,3.83B,-,20.48,0.54%,"3,738,648"
2,3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,17.8,-1.00%,"476,810"
3,4,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,39.68M,-,1.24,-2.36%,"34,515"
4,5,AACQ,Artius Acquisition Inc.,Financial,Shell Companies,USA,720.88M,-,9.95,0.30%,"50,212"
5,6,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,57.85,1.21%,"1,377"
6,7,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,109.49M,-,3.34,0.91%,"136,783"
7,8,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,8.37B,-,14.98,0.27%,"66,015,730"
8,9,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,36.64M,-,22.76,0.71%,622
9,10,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,40.83M,62.30,2.06,-0.39%,"4,480"
10,11,AAN,"Aaron's Holdings Company, Inc.",Industrials,Rental & Leasing Services,USA,4.35B,-,64.67,0.36%,"322,602"
11,12,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,183.48M,-,8.14,-3.44%,"527,500"
12,13,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.46B,45.78,65.92,0.08%,"58,072"
13,14,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.30B,21.81,149.93,0.35%,"459,782"
14,15,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2004.20B,35.69,116.59,0.48%,"46,679,104"
15,16,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.84B,47.90,30.18,-1.02%,"97,451"
16,17,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,124.57M,-,1.02,2.41%,"210,706"
17,18,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.59B,-,56.33,0.57%,"152,944"
18,19,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,87.28,1.12%,"538,224"
19,20,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,7.87B,-,125.55,-1.71%,"271,779"
20,21,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,3.11B,11.76,32.36,1.47%,"105,105"
21,22,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,58.30B,119.28,26.6,0.19%,"1,018,290"
22,23,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,183.03B,22.93,104.89,0.66%,"4,415,827"
23,24,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,21.37B,-,103.2,0.09%,"309,071"
24,25,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,2.47B,10.71,35.28,-1.26%,"203,069"
25,26,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,4.31B,-,19.03,2.98%,"31,166"
26,27,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,158.98M,-,1.65,17.02%,"5,199,537"
27,28,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,24.93,0.00%,0
28,29,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,42.95B,15.51,2.73,-1.09%,"7,448,448"
29,30,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,2.36B,10.94,118.33,-2.06%,"59,979"
30,31,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,38.39M,-,4.28,2.15%,"633,508"
31,32,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.66B,-,39.96,-0.75%,"103,092"
32,33,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,12.40B,59.68,271.9,3.06%,"150,229"
33,34,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,1.69B,18.23,13.69,-0.29%,"352,282"
34,35,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,498.02M,-,10.21,0.59%,"34,986"
35,36,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,190.93B,57.24,107.62,1.14%,"1,978,000"
36,37,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,666.47M,15.36,32.4,-1.25%,"48,509"
37,38,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,366.30M,-,4.34,15.12%,"5,349,672"
38,39,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,829.17M,-,38.53,2.66%,"3,791"
39,40,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.69B,22.68,54.42,1.32%,"83,171"
40,41,ACACU,Acies Acquisition Corp.,Financial,Shell Companies,Cayman Islands,-,-,10.1,0.60%,"34,217"
41,42,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,8.91B,-,56.0,0.25%,"497,344"
42,43,ACAM,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,388.01M,463.64,10.2,0.00%,"349,116"
43,44,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.92B,48.47,10.47,20.21%,"51,692,064"
44,45,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,311.35M,16.77,15.21,-2.44%,"57,184"
45,46,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,5.56B,79.70,40.49,-1.34%,"178,031"
46,47,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2.69B,-,51.84,2.57%,"158,303"
47,48,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,740.30M,10.26,7.98,-1.60%,"207,593"
48,49,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1.03B,-,10.92,0.46%,"213,072"
49,50,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,32.94M,-,2.6,0.00%,"75,665"
50,51,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,71.38,1.42%,"75,706"
51,52,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,233.19M,-,12.43,2.22%,"20,187"
52,53,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,226.55M,-,9.85,0.00%,"14,101"
53,54,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.1,0.50%,"156,300"
54,55,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,13.77B,11.83,33.03,-1.55%,"1,413,304"
55,56,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,9.98B,-,9.27,3.11%,"40,754"
56,57,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,3.83B,38.14,43.18,-0.25%,"248,281"
57,58,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,32.67M,-,9.1,0.33%,"65,523"
58,59,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,7.52B,7.39,15.86,0.38%,"961,071"
59,60,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.93B,43.71,69.71,-0.06%,"400,925"
60,61,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,27.39,0.22%,"3,284"
61,62,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,389.29M,-,5.57,7.12%,"156,321"
62,63,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.71B,64.85,33.14,-0.11%,"250,173"
63,64,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,902.07M,20.56,27.22,1.11%,"171,152"
64,65,ACM,AECOM,Industrials,Engineering & Construction,USA,8.42B,49.27,52.28,0.08%,"444,682"
65,66,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.56B,124.96,83.72,8.66%,"279,130"
66,67,ACN,Accenture plc,Technology,Information Technology Services,Ireland,164.64B,31.54,250.12,0.32%,"887,795"
67,68,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,227.27M,13.14,26.55,-2.32%,"14,162"
68,69,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,33.70M,0.75,0.69,-3.04%,"1,919,509"
69,70,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,177.63M,-,10.19,0.49%,"37,389"
70,71,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,383.26M,21.53,11.41,1.42%,"94,260"
71,72,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,142.46M,-,3.32,0.30%,"194,971"
72,73,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,138.40M,-,1.52,-1.30%,"587,712"
73,74,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Financial,Exchange Traded Fund,USA,-,-,30.65,0.48%,"8,041"
74,75,ACSI,American Customer Satisfaction ETF,Financial,Exchange Traded Fund,USA,-,-,42.17,0.00%,0
75,76,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,24.48M,-,0.25,-5.71%,"5,368,679"
76,77,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA,181.30M,16.30,3.7,-2.12%,"155,344"
77,78,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA,113.80M,16.01,32.33,0.00%,"7,159"
78,79,ACV,AllianzGI Diversified Income & Convertible Fund,Financial,Asset Management,USA,310.10M,-,29.95,0.23%,"10,845"
79,80,ACWF,iShares MSCI Global Multifactor ETF,Financial,Exchange Traded Fund,USA,-,-,32.44,0.62%,"2,460"
80,81,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,88.41,0.61%,"1,754,976"
81,82,ACWV,iShares MSCI Global Min Vol Factor ETF,Financial,Exchange Traded Fund,USA,-,-,96.0,0.27%,"95,014"
82,83,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,51.85,0.74%,"977,853"
83,84,ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USA,3.52M,-,2.23,0.45%,"4,945"
84,85,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,721.77M,-,4.91,6.51%,"1,224,704"
85,86,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,230.57B,60.06,477.03,1.48%,"1,815,283"
86,87,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA,3.64B,35.65,65.88,-1.73%,"208,388"
87,88,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,2.49B,-,34.5,-3.33%,"158,725"
88,89,ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA,106.85M,-,6.02,3.26%,"58,665"
89,90,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,51.39B,46.10,137.75,1.32%,"1,304,130"
90,91,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,27.28M,-,1.95,3.17%,"267,667"
91,92,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,28.25B,17.38,50.45,-0.10%,"1,382,730"
92,93,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,174.80M,-,1.9,3.83%,"2,226,496"
93,94,ADME,Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,35.0,0.17%,"2,681"
94,95,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,40.99M,-,0.44,1.27%,"1,876,759"
