,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"26,300","-450","-1.7","26,850","26,850","25,450","809,547","21,287,343,350","734,597,661,000","0.04","27,931,470"
,000040,KR모터스,"860","20","2.4","840","870","819","2,207,632","1,858,310,693","78,828,475,480","0.00","91,661,018"
,000050,경방,"11,300","-250","-2.2","11,550","11,700","11,300","60,208","691,327,150","309,792,551,000","0.02","27,415,270"
,000060,메리츠화재,"13,000","200","1.6","12,800","13,100","12,800","217,829","2,833,739,100","1,477,840,000,000","0.07","113,680,000"
,000070,삼양홀딩스,"67,500","2,100","3.2","65,500","68,000","65,400","14,724","987,668,100","578,088,292,500","0.03","8,564,271"
,000075,삼양홀딩스우,"51,000","1,250","2.5","49,800","51,000","49,750","2,922","147,080,250","15,506,958,000","0.00","304,058"
,000080,하이트진로,"37,300","-50","-0.1","37,700","37,750","37,100","227,172","8,482,575,050","2,615,983,690,300","0.13","70,133,611"
,000087,하이트진로2우B,"21,650","150","0.7","21,500","21,800","21,250","2,241","48,179,750","24,467,487,700","0.00","1,130,138"
,000100,유한양행,"65,700","-900","-1.4","67,400","67,400","65,500","415,442","27,448,691,000","4,392,492,417,000","0.22","66,856,810"
,000105,유한양행우,"68,500","300","0.4","69,100","69,100","67,900","23,438","1,607,498,400","80,894,390,000","0.00","1,180,940"
,000120,CJ대한통운,"158,000","1,500","1.0","158,000","158,000","156,500","37,545","5,913,091,000","3,604,350,352,000","0.18","22,812,344"
,000140,하이트진로홀딩스,"17,000","-150","-0.9","17,050","17,150","16,850","30,219","512,817,200","394,515,005,000","0.02","23,206,765"
,000145,하이트진로홀딩스우,"17,300","100","0.6","17,450","17,450","17,100","2,678","46,057,050","8,145,013,000","0.00","470,810"
,000150,두산,"51,400","-900","-1.7","52,300","52,900","51,400","117,625","6,125,626,100","849,325,119,000","0.04","16,523,835"
,000155,두산우,"41,400","200","0.5","42,000","42,150","40,700","36,825","1,525,949,150","165,453,526,800","0.01","3,996,462"
,000157,두산2우B,"91,400","700","0.8","91,800","95,000","89,100","7,769","714,303,600","81,623,673,200","0.00","893,038"
,000180,성창기업지주,"1,720","60","3.6","1,680","1,735","1,670","256,445","438,299,905","119,972,752,000","0.01","69,751,600"
,000210,대림산업,"85,100","-2,100","-2.4","87,100","87,500","84,600","644,194","55,018,617,300","2,961,480,000,000","0.15","34,800,000"
,000215,대림산업우,"45,700","-2,300","-4.8","48,000","48,100","44,850","101,344","4,675,449,250","173,660,000,000","0.01","3,800,000"
,000220,유유제약,"18,100","-800","-4.2","18,700","19,000","18,000","354,110","6,437,017,850","124,940,173,200","0.01","6,902,772"
,000225,유유제약1우,"16,050","-150","-0.9","16,350","16,350","15,800","27,963","447,672,250","18,192,113,250","0.00","1,133,465"
,000227,유유제약2우B,"45,100","-750","-1.6","46,850","46,850","44,950","4,980","225,076,200","7,400,008,000","0.00","164,080"
,000230,일동홀딩스,"9,870","-40","-0.4","9,990","10,150","9,870","14,685","146,575,380","113,903,748,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"16,150","700","4.5","15,450","16,350","15,300","944,907","15,145,318,600","1,502,275,793,950","0.07","93,020,173"
,000250,삼천당제약,"54,800","300","0.6","54,900","55,400","53,700","262,106","14,330,401,900","1,247,688,646,800","0.06","22,768,041"
,000270,기아차,"44,400","2,100","5.0","42,700","44,400","42,700","2,473,674","108,771,484,500","17,998,132,606,800","0.90","405,363,347"
,000300,대유플러스,"1,035","238","29.9","821","1,035","792","127,379,215","123,439,360,059","118,599,029,190","0.01","114,588,434"
,000320,노루홀딩스,"9,240","30","0.3","9,210","9,260","9,140","11,175","102,969,310","122,810,235,240","0.01","13,291,151"
,000325,노루홀딩스우,"20,800","800","4.0","20,050","20,950","20,050","10,871","224,620,400","3,853,200,000","0.00","185,250"
,000370,한화손해보험,"3,025","215","7.6","2,865","3,025","2,800","1,521,516","4,471,427,290","353,135,217,875","0.02","116,738,915"
,000390,삼화페인트,"5,190","10","0.2","5,200","5,200","5,140","20,593","106,475,080","137,217,117,690","0.01","26,438,751"
,000400,롯데손해보험,"1,625","20","1.2","1,610","1,645","1,605","525,943","854,949,190","504,296,520,000","0.03","310,336,320"
,000430,대원강업,"3,410","65","1.9","3,370","3,510","3,310","172,276","588,906,080","211,420,000,000","0.01","62,000,000"
,000440,중앙에너비스,"7,710","-60","-0.8","7,750","7,750","7,640","13,164","101,199,670","48,011,172,300","0.00","6,227,130"
,000480,조선내화,"72,500","900","1.3","71,700","72,900","71,700","2,275","165,125,300","290,000,000,000","0.01","4,000,000"
,000490,대동공업,"6,900","-70","-1.0","7,020","7,100","6,870","201,663","1,404,166,800","163,724,649,000","0.01","23,728,210"
,000500,가온전선,"25,950","450","1.8","26,500","26,550","25,850","47,537","1,247,121,500","107,961,004,650","0.01","4,160,347"
,000520,삼일제약,"24,900","-350","-1.4","25,450","25,900","24,800","125,444","3,155,169,150","162,636,964,500","0.01","6,531,605"
,000540,흥국화재,"2,430","5","0.2","2,420","2,460","2,400","89,371","217,160,455","156,109,627,350","0.01","64,242,645"
